Model,Duration_s,Inference_Time_s,RTF,WER,Ref,Pred
openai/whisper-tiny,20.94,0.7378,0.0352,0.3929,ini tidak sendirian eksperimentasi dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu penelitian ilmiah,ini tidak sendiri yang terlihat dan sebuah eksperimeng dan calah test yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotasis mengajukan pertanyaan dan membuat pengamatan juga memanduk pengerlipia ilmiya
openai/whisper-tiny,10.32,0.3283,0.0318,0.6429,saat ia bekerja di rumah sakit liggins mulai menyelidiki persalinan prematur selama waktu luangnya,setiap sekerti rumah saat itu mungkin mulai nyelitikit persalinan premator selama waktu luangnya
openai/whisper-tiny,11.88,0.3799,0.032,0.3889,kota ini sangat kontras dengan kotakota lain di negara tersebut sebab kota tersebut lebih bergaya arab ketimbang afrika,kota ini sangat contrast dengan kota kota lain di negara tersebut sepat kota tersebut lebih berkejarat ke timbang afrika
openai/whisper-small,8.58,1.4314,0.1668,0.0,timtim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan,timtim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan
openai/whisper-small,7.68,1.0617,0.1382,0.2222,segera setelah permusuhan pecah britania memulai blokade laut jerman,segera setelah permusuhan pecah britania memulai blokadel laut cerman
openai/whisper-small,9.48,1.1433,0.1206,0.2941,semua nomina di samping kata sie untuk anda selalu dimulai dengan huruf kapital bahkan di tengah kalimat,semua nomina disamping katasi untuk anda selalu dimulai dengan log kapital bahkan di tengah kalimat
openai/whisper-small,9.48,0.9284,0.0979,0.0,ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu,ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu
openai/whisper-small,12.3,1.5809,0.1285,0.0,di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun,di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun
openai/whisper-small,7.32,1.1517,0.1573,0.3077,kambing tampaknya mulai dijinakkan sekitar 10000 tahun lalu di pegunungan zagros di iran,kamping tampaknya mulai dijinakan sekitar 10000 tahun lalu dipegunungan zagros di iran
openai/whisper-small,5.22,0.7825,0.1499,0.2222,di kepulauan dan danau anda tidak perlu kapal pesiar,di kepuluan dan danau anda tidak perlu kapal besiara
openai/whisper-small,20.1,2.2092,0.1099,0.037,pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang,temberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang
openai/whisper-small,13.92,1.3638,0.098,0.2353,ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan sanparks,ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan dalam gulung san paks
openai/whisper-small,7.98,1.2851,0.161,0.1875,mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti trex,mereka memuliki kaki dengan sisi dan cakar bertelur dan berjalan dengan dua kaki belakang seperti direk
openai/whisper-small,15.96,2.0203,0.1266,0.069,dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dan 100 kanada yang baru,dia juga terlibat dalam pengukiran uang kertas untuk banyak negara contoh karyanya yang terbaru termasuk potret perdana menteri di bagian depan uang kertas 5 dolar dan 100 dolar kanada yang baru
openai/whisper-small,15.78,2.3106,0.1464,0.0645,orangorang telah mengenal unsurunsur kimia dasar seperti emas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alatalat primitif,orangorang telah mengenal unsurunsur kimia dasar seperti mas perak dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif muda ditambang dengan alatalat primitif
openai/whisper-small,14.04,2.0978,0.1494,0.1111,dibangun oleh orangorang mesir pada abad ketiga sm piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati firaun yang telah meninggal dunia,dibangun oleh orangorang mesir pada abad ketiga sebelum masehi piramida agung merupakan salah satu dari banyak struktur piramida besar yang dibangun untuk menghormati viraun yang telah meninggal dunia
openai/whisper-small,12.78,1.9982,0.1564,0.25,sultan maroko membangun kembali kota tersebut menjadi daru ibadya kota tersebut kemudian dinamai casablanca oleh para pedagang spanyol yang mendirikan basis perdagangan di sana,sultan marokko membahun kembali kota tersebut menjadi daru ibadia kota tersebut kemudian dinamai kasa belangka oleh para pedagang spanyol yang mendirikan basis pedagangan di sana
openai/whisper-small,14.1,1.7585,0.1247,0.1579,wisatawan yang bepergian ke negaranegara berpajak yang tinggi kadangkadang bisa menghemat uang untuk produkproduk seperti minuman beralkohol dan tembakau,wisa tawan yang bepergian ke negaranegara berpaca yang tinggi kadangkadang bisa menghemat uang untuk produkproduk seperti minuman beralkohol dan tembakau
openai/whisper-small,22.56,2.6147,0.1159,0.1579,walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk tetap bergaul di paris adalah dengan berperilaku terbaik bertindak seperti seseorang yang bien ã©levã© dibesarkan dengan baik hal tersebut membuat perjalanan berkeliling anda jauh lebih mudah,walaupun sering kali ini hanya stereotip yang tidak akurat cara terbaik untuk tetap bergaul di paris adalah dengan berbeli laku terbaik berdindak seperti seorang yang bien atau levat dibesarkan dengan baik hal tersebut membuat perjalanan berkeliling anda jauh lebih mudah
openai/whisper-small,10.5,1.022,0.0973,0.1538,casablanca adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko,kasa belanka adalah salah satu tempat paling tidak menarik untuk berbelanja di seluruh maroko
openai/whisper-small,6.78,0.9722,0.1434,0.0833,orangorang sekarang menulis pesan di layar komputer tidak pernah harus menggunakan rautan,orangorang sekarang menunis pesan di layar komputer tidak pernah harus menggunakan rautan
openai/whisper-small,7.32,0.8286,0.1132,0.0,namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus,namun ada banyak hal tentang burung yang masih terlihat seperti dinosaurus
openai/whisper-small,20.34,1.9161,0.0942,0.1667,institut keadilan dan demokrasi haiti telah mereferensikan penelitian independen yang mengemukakan batalion penjaga perdamaian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti,institute keadilan dan demokrasi haiti telah mereferensikan penelitian indipenden yang mengamukakan batalion penjaga perdamian pbb nepal secara tanpa sadar membawa penyakit itu ke haiti
openai/whisper-small,13.44,1.2016,0.0894,0.0,hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut,hal ini memberikan kesempatan yang baik untuk melihat aurora borealis karena langit akan lebih gelap pada sekitar waktu tersebut
openai/whisper-small,13.38,1.811,0.1354,0.1333,ini adalah tempat yang direbut oleh penjajah inggris sebagai milik mereka dan apabila anda sedang mencari bukti wilayah kolonial di masa lalu di sini adalah tempat yang tepat untuk memulai,ini adalah tempat yang direbut oleh penjaja inggris sebagai milik mereka dan apabila anda sedang mencari bukti belaya kolonial di masa lalu disini adalah tempat yang tepat untuk memulai
openai/whisper-small,8.22,1.1881,0.1445,0.0,beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan,beberapa atom memiliki inti yang tidak stabil yang berarti atom cenderung pecah dengan sedikit atau tanpa sentuhan
openai/whisper-small,9.96,1.139,0.1144,0.0625,ion hidrogen adalah proton yang elektronnya dilucuti sebab atom hidrogen memiliki satu proton dan satu elektron,ion hidrogen adalah proton yang elektronnya dilujuti sebab atom hidrogen memiliki satu proton dan satu elektron
openai/whisper-small,11.76,1.2016,0.1022,0.3333,segregasi dan rekombinasi mengocok variasi bolakbalik antara dua kolam dengan masingmasing generasi,saya gredasi dan rekombinasi mencoba varian bolakbalik antara dua kolam dengan masingmasing generasi
openai/whisper-small,13.14,1.5501,0.118,0.0556,peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekelompok orang yang hidup dan bekerja bersama sebagai masyarakat,peradaban adalah sebuah kebudayaan tunggal yang dijalankan bersama oleh sekolah orang yang hidup dan bekerja bersama sebagai masyarakat
openai/whisper-small,6.18,1.0604,0.1716,0.5,serupa halnya dengan itu pria diharuskan memakai celana panjang yang menutup lutut,serupa halnya dengan itu perlihat dia harus memakai jalanan panjang yang menutupbutut
openai/whisper-small,20.94,2.1153,0.101,0.0714,ini tidak sendirian eksperimentasi dan sebuah eksperimen adalah tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu penelitian ilmiah,ini tidak sendirian eksperimentasi dan sebuah eksperimen dalam tes yang digunakan untuk menghilangkan satu atau lebih dari kemungkinan hipotesis mengajukan pertanyaan dan membuat pengamatan juga memandu peneritian ilmiah
openai/whisper-small,10.32,1.1714,0.1135,0.2857,saat ia bekerja di rumah sakit liggins mulai menyelidiki persalinan prematur selama waktu luangnya,saatnya bekerja di rumah sakit ligin mulai menyelidiki persaliran prematur selama waktu luangnya
openai/whisper-small,11.88,1.3873,0.1168,0.0556,kota ini sangat kontras dengan kotakota lain di negara tersebut sebab kota tersebut lebih bergaya arab ketimbang afrika,kota ini sangat kontras dengan kotakota lain di negara tersebut sebab kota tersebut lebih bergaya arat ketimbang afrika
